game_id,club_id,hosting,opponent_goals,own_goals
23311281,415.0,Home,2.0,1.0
23311351,1423.0,Home,2.0,1.0
23311511,415.0,Home,1.0,1.0
23311621,162.0,Home,1.0,1.0
23319971,512.0,Home,1.0,2.0
23320211,984.0,Home,1.0,1.0
23320501,289.0,Home,4.0,3.0
23320531,379.0,Home,0.0,3.0
23320641,512.0,Home,0.0,2.0
23320701,281.0,Home,0.0,6.0
23320741,1123.0,Home,0.0,1.0
23321841,762.0,Home,3.0,0.0
23321881,180.0,Home,2.0,2.0
23322221,11.0,Home,0.0,0.0
23322341,405.0,Home,3.0,4.0
23322351,873.0,Home,0.0,1.0
23322591,29.0,Home,3.0,2.0
23322881,405.0,Home,0.0,0.0
23322931,180.0,Home,1.0,0.0
23349091,465.0,Home,0.0,0.0
23349271,987.0,Home,1.0,3.0
23349391,43.0,Home,2.0,0.0
23349761,370.0,Home,1.0,0.0
23349861,465.0,Home,1.0,1.0
23350211,2759.0,Home,1.0,1.0
23350441,2578.0,Home,1.0,1.0
23350601,465.0,Home,0.0,0.0
23350721,121.0,Home,4.0,1.0
23351391,932.0,Home,0.0,0.0
23351581,2700.0,Home,1.0,0.0
23351811,1083.0,Home,0.0,0.0
23352021,1083.0,Home,1.0,0.0
23352091,121.0,Home,2.0,4.0
23352251,2698.0,Home,1.0,2.0
23352261,932.0,Home,1.0,2.0
23352371,932.0,Home,0.0,0.0
23352451,2700.0,Home,0.0,4.0
23352481,3725.0,Home,0.0,3.0
23352571,12438.0,Home,1.0,0.0
23352641,2698.0,Home,1.0,3.0
23352731,2410.0,Home,0.0,2.0
23352761,4128.0,Home,3.0,1.0
23352961,2700.0,Home,1.0,0.0
23356291,16245.0,Home,1.0,1.0
23356451,660.0,Home,0.0,1.0
23356571,6414.0,Home,0.0,4.0
23356611,10690.0,Home,2.0,2.0
23356731,2477.0,Home,0.0,1.0
23356811,6994.0,Home,3.0,2.0
23356931,339.0,Home,0.0,2.0
23357141,2227.0,Home,1.0,3.0
23357261,338.0,Home,1.0,9.0
23357271,2477.0,Home,4.0,0.0
23357611,2783.0,Home,1.0,4.0
23357731,6994.0,Home,1.0,0.0
23357781,2227.0,Home,1.0,0.0
23357821,6994.0,Home,3.0,0.0
23357941,6994.0,Home,3.0,0.0
23358171,16245.0,Home,2.0,0.0
23358351,6414.0,Home,4.0,2.0
23402281,68608.0,Home,0.0,2.0
23402641,2990.0,Home,3.0,0.0
23402761,2424.0,Home,1.0,1.0
23402841,4750.0,Home,1.0,2.0
23403051,1301.0,Home,2.0,2.0
23403131,1085.0,Home,2.0,2.0
23403171,720.0,Home,0.0,1.0
23403651,1085.0,Home,1.0,3.0
23403691,2425.0,Home,0.0,0.0
23403711,1075.0,Home,2.0,2.0
23403771,720.0,Home,1.0,4.0
23403841,294.0,Home,1.0,1.0
23403921,720.0,Home,0.0,3.0
23404211,2420.0,Home,2.0,1.0
23404351,336.0,Home,0.0,3.0
23410561,1050.0,Home,1.0,5.0
23410741,681.0,Home,2.0,1.0
23410791,621.0,Home,2.0,3.0
23411231,1049.0,Home,1.0,2.0
23411441,940.0,Home,1.0,0.0
23411601,1531.0,Home,1.0,0.0
23411721,940.0,Home,1.0,0.0
23412001,1049.0,Home,0.0,2.0
23412271,13.0,Home,0.0,7.0
23412371,1050.0,Home,1.0,1.0
23413041,714.0,Home,2.0,2.0
23413191,1050.0,Home,1.0,1.0
23413321,16795.0,Home,0.0,1.0
23423351,192.0,Home,5.0,1.0
23423461,306.0,Home,3.0,2.0
23423741,1268.0,Home,0.0,3.0
23424021,235.0,Home,2.0,2.0
23424391,499.0,Home,2.0,0.0
23424491,499.0,Home,1.0,1.0
23424601,1268.0,Home,2.0,3.0
23424721,133.0,Home,0.0,0.0
23424831,202.0,Home,1.0,3.0
23424841,1268.0,Home,1.0,1.0
23424951,1090.0,Home,0.0,4.0
23424961,499.0,Home,1.0,3.0
23425041,499.0,Home,2.0,1.0
23425321,192.0,Home,1.0,0.0
23425521,202.0,Home,1.0,3.0
23425561,1090.0,Home,1.0,1.0
23425761,499.0,Home,1.0,3.0
23434481,1180.0,Home,2.0,1.0
23450861,128.0,Home,1.0,0.0
23451021,2531.0,Home,0.0,2.0
23451141,8715.0,Home,0.0,4.0
23457361,2553.0,Home,0.0,0.0
23460821,2293.0,Home,1.0,0.0
23460861,2381.0,Home,0.0,2.0
23460941,126.0,Home,0.0,0.0
23460981,10484.0,Home,0.0,3.0
23461091,20.0,Home,1.0,1.0
23461251,19771.0,Home,1.0,2.0
23461371,449.0,Home,2.0,2.0
23461711,20.0,Home,1.0,3.0
23461841,10484.0,Home,3.0,1.0
23461961,825.0,Home,2.0,2.0
23462201,524.0,Home,1.0,2.0
23462581,6894.0,Home,1.0,1.0
23463251,6894.0,Home,0.0,3.0
23463371,10484.0,Home,1.0,1.0
23463511,1506.0,Home,0.0,0.0
23463841,114.0,Home,1.0,1.0
23507201,1101.0,Home,0.0,0.0
23512941,4172.0,Home,0.0,1.0
23513541,1109.0,Home,2.0,1.0
23518891,2672.0,Home,2.0,2.0
23519101,6676.0,Home,0.0,2.0
23519281,683.0,Home,0.0,4.0
23519691,5220.0,Home,1.0,0.0
23537581,1041.0,Home,0.0,4.0
23583201,332.0,Home,4.0,5.0
23592791,276.0,Home,2.0,3.0
23593231,130.0,Home,1.0,1.0
23593341,410.0,Home,0.0,1.0
23594251,430.0,Home,0.0,2.0
23595041,46.0,Home,0.0,0.0
23595161,862.0,Home,1.0,0.0
23595321,410.0,Home,2.0,0.0
23595391,5.0,Home,0.0,3.0
23595681,6574.0,Home,2.0,4.0
23601391,2423.0,Home,1.0,2.0
23608871,419.0,Home,2.0,0.0
23608991,790.0,Home,1.0,0.0
23609721,339.0,Home,0.0,2.0
23609791,338.0,Home,1.0,5.0
23610821,60.0,Home,1.0,2.0
23611501,5587.0,Home,5.0,4.0
23665001,20417.0,Home,0.0,5.0
23665121,24391.0,Home,5.0,0.0
23670961,6195.0,Home,1.0,2.0
23672091,419.0,Home,2.0,1.0
23672141,790.0,Home,5.0,2.0
23672371,339.0,Home,2.0,1.0
23672391,2784.0,Home,3.0,0.0
23672661,697.0,Home,1.0,1.0
23672711,2481.0,Home,2.0,0.0
23673541,1064.0,Home,1.0,2.0
23673921,12285.0,Home,0.0,3.0
23675841,29095.0,Home,2.0,1.0
